BLOCK;DATETIME;TX;DONAR;DONATION[PLAY];DAYSUM[PLAY];DAYRATE[AGS/PLAY];RELATED_ADDR
337525;2015-01-05 00:03:15 UTC;94d0a4e9beace1337944fb842f8eea45dd3e17431270031b961031659b5ba9ed;1HJN2x3gGxBWLKxL4dDDXwZGjcTyfj1yEZ;1.508905;1.508905;3313.66123116;
337526;2015-01-05 00:04:26 UTC;52c7939a935a7454181e1758f429af32850ca4418c71597026fb1240cf2b2f7c;1GmJCr7oYdG9rZDAiHXEwdUP4YivEYKBE8;32.896;34.404905;145.32811528;
337526;2015-01-05 00:04:26 UTC;ab5879d52e943efa874409c8ba43022d9676140121c80deeb2234026e7d4de5c;15aq5duinB3pLZCDa9UVtcig5dEjzbxdE1;2.29;36.694905;136.25869858;
337526;2015-01-05 00:04:26 UTC;e9751a8d950a2853383e2827c3d8187a9073c68d52b382aac1fb627c23ff4c95;179gy8wzpWk2JmWBy6DPZ4Q7hVJFgYWxFX;0.5;37.194905;134.42701359;12mbogA4rnF2o8wYQ3hzgmjijchHuXgBhu
337527;2015-01-05 00:05:31 UTC;5ca6739b8b5044e15a92de19b77541d2850be3ee70bc98a4b68d1306a69d3502;1M4CMrosSvAHPMWs3XrrJGSMbVAWKfbW5G;36.0;73.194905;68.31076562;
337527;2015-01-05 00:05:31 UTC;c362e2df8b6e90534ac5212ba81212d6e3b2b46926b7762bef7dadc65fd3c233;1CvFC2eY4uoq3zYVECKJivDJRhPTnD5wBH;3.9948;77.189705;64.77547751;
337528;2015-01-05 00:11:04 UTC;60a27e3665ac3f57fee55f909c84e26839c4b3982f21c373573c7a451ea20119;14sp7MuPsBeiNznTg9hryG7svRd9fJQckN;20.12;97.309705;51.38233643;
337529;2015-01-05 00:42:45 UTC;61f1930c6880d7c8c156dab4db0852a1d209fee3c57fe9d02977ce78f6c8950f;1HDQS4DyFbHSHpW3enMkvvf1Susfit4bXr;6.69862312;104.00832812;48.07307348;
337529;2015-01-05 00:42:45 UTC;d14a4553f95cd59ca3c75dd635d1a909102efbd8b3dff7993fe8874075fd356e;16CUrtKxRYwysWDnJGEDJ9VvptMK8UeG6U;1.0;105.00832812;47.61527099;
337529;2015-01-05 00:42:45 UTC;402d2bb9a5d4845e494e7376a8a31075db865582a5183850b131e80e9f1adeff;16CUrtKxRYwysWDnJGEDJ9VvptMK8UeG6U;29.81;134.81832812;37.08694559;
337529;2015-01-05 00:42:45 UTC;b767d9afff171c337cf3034b5bf16969cce39dd6df4fc742a2a667289d4c3d85;1M44UEfWjwYJ2yAVKLjuFuwf2EQ77pvZum;20.4;155.21832812;32.21269073;
337529;2015-01-05 00:42:45 UTC;810f8e1b1717e114d150ae23459bbd3bbd5626b63ce2635f16c0982c0abbc5b2;1Q4F7d9eoqrVwta1zgVTXVCtwVbnwEjWEc;1.3793;156.59762812;31.9289638;
337529;2015-01-05 00:42:45 UTC;e094b090c586fda4b0c1bb8947f6f5550d58d94eabc3f288a9a0c521e2d414f3;1MAatfkaCx5JstF6kQqRqGAPwZTCzBvPgA;0.999;157.59662812;31.72656712;
337529;2015-01-05 00:42:45 UTC;84650e0ac8882b2568a204a4a40aa0e45e2c56a77b6db163a8a7854518d029a6;1JeR4Vj4brtgnrKG8ufeCwj2GBks76p9EW;1.0;158.59662812;31.52652146;
337529;2015-01-05 00:42:45 UTC;1670eaf1aa5c1611ce83dc1ab05f9c743e253bc0bd1697d089c83db10bf25dfa;1EB9UHZGkSwuoPh1oV5jVRJDm9M6nbdtEY;1.6;160.19662812;31.21164321;1JEkmomqmEkqqcYYBEGaEyXQSJDEnF4g5h
337532;2015-01-05 01:12:43 UTC;0bfb6983ccd87de65fc0e1798373a0add181817f13a3d013be264635e4919e81;1EB9UHZGkSwuoPh1oV5jVRJDm9M6nbdtEY;3.50799171;163.70461983;30.5428155;1JEkmomqmEkqqcYYBEGaEyXQSJDEnF4g5h
337534;2015-01-05 01:43:12 UTC;785ecada19808557ac111da4c48e14aac2c59c6403e3edc5b76c68f2dcdead9b;138Wt4UdAcRocLvjtHz2dqqeDoznCJyRh8;0.04703629;163.75165612;30.53404233;
337540;2015-01-05 02:55:58 UTC;f2866d8ff7c60c340bc0e6a869b115b191773b14f5781e5efe2207efdc738ba1;1AqXuP6SEHXiSU9LwwZzenoNetjpToHZ26;0.3239;164.07555612;30.47376537;
337541;2015-01-05 03:04:33 UTC;d0f8e423ff210e89bb451250eae39761607718a3d536edc8f1b32f914245794c;1D9raDdQK4Jn2aQeVnAVAg4YWosRzTfwPi;1.0;165.07555612;30.28916042;
337542;2015-01-05 03:16:50 UTC;d37a7944228a7fd8b01eb7dda3b4d07feeb7c6b4e1f2404aab9e9bf30cff57f1;1pgGG2mKZipaTvDsHLNZRxRCQtx3Mqi59;3.0;168.07555612;29.7485257;
337542;2015-01-05 03:16:50 UTC;6db97897800427f75bf2683504371e7a7d855dcc38eb1656d0a385a8d9d99b6b;1Jyu5thLwhsbVZNU7Ve8vYKmBfiiP89LfK;2.60733;170.68288612;29.29409101;
337545;2015-01-05 03:26:52 UTC;18b4fdef3f40cdcf866d02c4617fe2b911587e1ae188cb971d9a21d0b3591596;1AiqzC8YqD2o6uon1h7YMKfyEP7eeMGed5;1.0;171.68288612;29.12346194;
337545;2015-01-05 03:26:52 UTC;9d7faf8c2c06fba99535e320ea34a2229e3d640a8f96473ad5d5bbb4905d08de;1AiqzC8YqD2o6uon1h7YMKfyEP7eeMGed5;30.42830537;202.11119149;24.73885767;18bhnR34QgnJUVQnJDCKpfga8hHu74BNfK
337548;2015-01-05 03:45:08 UTC;c7fcb272456dea80a631d2474a2ade6f0f79b1b13143d961880b65333287b535;1D9raDdQK4Jn2aQeVnAVAg4YWosRzTfwPi;50.76940471;252.8805962;19.77217736;
337550;2015-01-05 04:14:54 UTC;d59ebede57843185b9e99c03b9daff55f479302bb5389d4693b78135314cdab6;1BNyQDcr7ECGBV2zeZL2LtzEAxrdXLXRw9;5.0;257.8805962;19.38881821;
337550;2015-01-05 04:14:54 UTC;f8ddc4166f67929bb247567d7e3fa4db04f14fe44ec2794f78b814e15cbabb51;14hH6EJJhRcHM5z9cH3tDLKLRKGmjDQt8F;5.0;262.8805962;19.02004207;
337550;2015-01-05 04:14:54 UTC;a930bf94524e47eea52b5bcf00835d606106ddf3f07bc281ba3be09d81c1bb25;15mTDnPKzYXMChzgvky2KSdrHgHqiVpozx;2.0;264.8805962;18.87642988;
337552;2015-01-05 04:51:46 UTC;4cba12103df1300b00a4792ec5563bfcf297628321f913e01fa4640ebbc8b62f;1QJyjAcm3ypfX7MaWeSvRKv1kyALTCsWtQ;9.59;274.4705962;18.2168876;
337552;2015-01-05 04:51:46 UTC;827811f1ac5ef421ebcb78312f0dfa1306a9accc65ae9f5d0059401863df1bce;122ibCsKJ9HeQSK6zkzcQE72oSBLpT9Azq;0.5;274.9705962;18.18376244;12mbogA4rnF2o8wYQ3hzgmjijchHuXgBhu
337555;2015-01-05 05:29:55 UTC;d77ed2d83075ffb9258d6ecffba0be59be2145118c2d051889c320142ae2fd01;1M44UEfWjwYJ2yAVKLjuFuwf2EQ77pvZum;24.361;299.3315962;16.70388313;1BW3d99JXh5FPov4S1GPrgudR5sjo9aCU6
337557;2015-01-05 05:37:59 UTC;452d69e962584e730bac56b18b4000cf1709894f6248c666f0042d61b3d58c7c;1GmJCr7oYdG9rZDAiHXEwdUP4YivEYKBE8;1.33;300.6615962;16.6299922;
337561;2015-01-05 06:10:49 UTC;de6c7c4ccfec14d7ac66bdfb521596e75f3a8b22ed57237fe696f85a62a0c088;19HoLSYHowNhqrymZTukEBqvbQbDqbA8Em;6.5;307.1615962;16.27807663;
337565;2015-01-05 06:46:19 UTC;97da82709aed22b230ecf2bb0e1fe4eac6e655567da65b20ccb6e8e9b2956754;1BofeJXNEWw1QC8c7Na9AFbhFzWyzAoMTd;30.0;337.1615962;14.82968421;191BocYKziSMzLDwFK86VCbHEQxVJF3YQF
337572;2015-01-05 08:01:13 UTC;bb00eac8996af0afa51c999e58fa077e3a1995a276f567ba8a240eac97003cf5;1HB49nkWoPr92JcM967Yd3jDr3UWCRrt1e;5.0;342.1615962;14.61297836;
337572;2015-01-05 08:01:13 UTC;8543cdc743fcc5843a567f842a6a941c38ddca99479960a82113e09f675730a0;1HB49nkWoPr92JcM967Yd3jDr3UWCRrt1e;15.007403;357.1689992;13.99897531;18MK1AGA2snZe8wqGqWG6W6JtvXb1jDUtc
337577;2015-01-05 08:39:09 UTC;5675a5d2459c804c7371ee150cd322711758da8a350ad2eb5c3fd760fe0b46c8;1P4bSjsJQM5tVMf4ZrYGPxCgLg7G6nWbS5;3.0;360.1689992;13.88237192;
337581;2015-01-05 09:00:15 UTC;35d3d074a62b7db2d21602923eaf18245876375e523d2daa88efde64487cebdc;138Wt4UdAcRocLvjtHz2dqqeDoznCJyRh8;0.0746;360.2435992;13.87949713;
337590;2015-01-05 10:44:18 UTC;d810f89ac90406a8524f751ac8e6a6fabfea69bc0fd4851d7a9cfbbac30c2e25;1G52tTXZbPKhYkbXAoG3TZQGCYPJBPK9rt;3.3;363.5435992;13.75350855;13KZMqUD6gAo1s2vJYo6YxsoGqS4T37Ywi,18cnJyftck3WLyXLV77wkQJkQmJUkfJYa9
337590;2015-01-05 10:44:18 UTC;724531f69bcf13934338e6bc2cabf1a2fbeae644bbe51e52efebb1f9f928fbc3;1JYB5RnnDKGeCw5HMNTen9WoNiZimapNXy;1.0;364.5435992;13.71578053;1GkUtZojgJ8s7wn3Fnnyi8YggpmGZHa6yk
337591;2015-01-05 10:56:29 UTC;5af07edbc90f4390cc2d900f2e2b40ff95ba13d75d2372f4f3a81cb5566b20c6;1DMfqTqfwL9EQgMk6A3CVLTtMsrQ7UaC2m;7.6724;372.2159992;13.4330604;
337596;2015-01-05 11:41:10 UTC;678bcc32c4a0ad8d6066a80ea3b211db0e29a555674ede7a1c6a85f53b2f105c;13U4QUfFX2tacimTkVo9MvfwzLzsfDbZYd;5.0;377.2159992;13.25500512;
337599;2015-01-05 12:05:43 UTC;571dd954fa6c69231d39c0e8734cd92fea3e745fed30d0e0081b3b9cb88ffb0e;1JeR4Vj4brtgnrKG8ufeCwj2GBks76p9EW;0.41937031;377.63536951;13.24028522;
337601;2015-01-05 12:13:40 UTC;71bbadb67a14a296e5a006e0e086c83a028d7dd0ea1d5405ee64e6a64284cb5b;1FpEiNRrP4Ro627q1H8wZaN5RNEzT5Aj6J;0.5555;378.19086951;13.22083742;
337606;2015-01-05 13:12:36 UTC;5f967855fa4751474ca5325664e8b92ef8247d29a9de578a0761120a9b6909cb;1DAoapRfNzGTqU1GfKi7hJEmgeguKXXcaj;11.0;389.19086951;12.84716675;
337606;2015-01-05 13:12:36 UTC;87bf6e72745f5ca580a40f03b6be8e574d07757483f62fa2cab354c2f71f0895;15aq5duinB3pLZCDa9UVtcig5dEjzbxdE1;0.1168;389.30766951;12.84331235;
337606;2015-01-05 13:12:36 UTC;dfd37545cdbc460727022797b9a881023846ed8dddc6f4606c435be199e463a0;1CRqRRK51vFWcQAPSqsBEM6ubhEvpJytsd;1.008;390.31566951;12.81014417;
337618;2015-01-05 15:15:34 UTC;3f81fabff1850173b32a6c87d3f5b911f698e4fc06afa57201f7efb9728f0a69;1BPB9DtxdqzbVeq3twygV89LYhEoJwfAsD;2.0001;392.31576951;12.74483564;1WhLx2b7QKvpa6zuMb7bAQHnKjUyQSwxW
337626;2015-01-05 16:00:57 UTC;a99cf61972e0e79e6813fc9b2c1389b3a0f015a110fe0bfda66bc67d4134ed4a;1DXSFpy4731jLoocBPdBP63zNmpAoaLBhX;3.0;395.31576951;12.64811674;
337634;2015-01-05 17:03:05 UTC;250ab9a2d53c4486fe0286bd3966006c27686b4c515b7ab21d3e2e93f9593536;1BjPFHNLF18qK3JsDDYMXQeNCfcF9W4Hnc;4.0099;399.32566951;12.52110841;
337639;2015-01-05 17:34:35 UTC;828c0e37a8276feac0f392f1e20a0091cb6d57b055f0dc8d09ac4c54d4dcd09c;1GknyzvctXY8F756VvPxfDQXv5SKwAt31Z;1.000136;400.32580551;12.48982686;19iPk6SdHa3HNvT999qgsC7GQrMF7uTXzk
337647;2015-01-05 18:34:26 UTC;61f874d0a6fd58042f065bbfa4c116b519ade4cb8dcb660f1eccc0c19312eb63;14Zs5WQMaWFbqw1BEvQr7pRsXXxQT2F8JM;1.0;401.32580551;12.45870545;
337652;2015-01-05 19:14:33 UTC;5f9fd9742f37ffb9d7528589732b98455de04ff0a25fd70d0110c73af7c5658d;17AvuAXeY9S3BENHFcPYC5cnovixRHg8ie;0.25;401.57580551;12.45094931;
337668;2015-01-05 22:14:22 UTC;dd98d79a10d1de274f45df8c77c3f986dfdf8a6b280777becadc756663db4a2f;15U5jCTfXhHoKu8rG6WMvXwR6YYCtMuV1X;4.01032961;405.58613512;12.32783758;
337675;2015-01-05 23:06:30 UTC;f2ac90db13882fb6b6b63e2214a37987d3cad76c7ac62e1ac2c7343eab35dfa0;147YudYGqCuC83YiqHgL6EPouAuw8TuRQR;9.6;415.18613512;12.04279136;
337675;2015-01-05 23:06:30 UTC;462cf6d1ff83864cb39ce2483fd61b5635bb06a536e5c9c0799d28b545a904fe;1EzUvLUWtmnV7t4femUx8HbkMmt2LEwytj;1.97752;417.16365512;11.98570378;
337684;2015-01-06 00:32:50 UTC;fc2b2db6325ee86a2d880c9566ce93426b5c3505e9138c44cccb94dca655e42a;1LYwcs6jnwf5QSALaXq3cp3WWUGRDYS4hU;19.39603446;19.39603446;257.78465234;
337685;2015-01-06 00:38:08 UTC;b246706a1d0b6bd1dac828035ff5b318d27f3d4dbea00ccc8cb8dfe7c9673e80;1Ggfyb5HN6Eb7S5j3zax3NpQ4V6ZWStHeh;7.735;27.13103446;184.29079832;
337686;2015-01-06 01:05:45 UTC;627edae8de3c7721c22264f2d83b212aafa954b8ead953d65dde64c91496e5eb;1ECTmwvLvnp7fRXSKS3neHcaA1DqiWYwRx;0.2999;27.43093446;182.27596319;
337689;2015-01-06 01:30:14 UTC;b719cbe66caf5283c08c8624964d05904ad2263a6284aa1b5dc44a3efbd405e1;193fE8Gd1e3yYcqTDvdy1eVufwALg3LMga;1.0;28.43093446;175.8647788;
337691;2015-01-06 01:41:48 UTC;69c16f47aa42675dbf3ffcbe12e56898d00e32d997a20466a594027f50cc6654;17N8XLoQ7Xv9fThncqh6cDYMUtQBixv34e;0.2;28.63093446;174.63628395;
337691;2015-01-06 01:41:48 UTC;f7dfe48f20bbec64d543a840ef0ff5a8fe9b0c5838bdee14b7ae7609f53f485e;1E3zDDpN8mJ4D15doAh53Mfrfj6ZP2Ch4P;5.21561517;33.84654963;147.72554528;1NSDWSjHkyeNDiKChGja5Tcv7rAfo97DEj
337723;2015-01-06 07:25:46 UTC;b0fce7d0ea0105d8143a7a0f4b29e69125200605aeaf01f56ad5e3c473a2256f;16qGSBZGNerRwC9zsJow1T9PRt8qAxnBxg;23.007;56.85354963;87.94525641;
337729;2015-01-06 08:05:24 UTC;72c35484b8903716ed1b1b2351a8bc24683371b82a1d224a1e078d30ef782ce0;15hJB1Z9tq4oNuu18nSvVBxfF3Yx7MzdTR;1.42526202;58.27881165;85.79447416;
337730;2015-01-06 08:07:26 UTC;1d7a047cda97aedf7e0b07ef37b0103b3954de1af30bbe04085d944d8da63409;15hJB1Z9tq4oNuu18nSvVBxfF3Yx7MzdTR;0.5138952;58.79270685;85.04456195;
337731;2015-01-06 08:17:07 UTC;7e58832691df277282b610ca84f064ed7ca06174ef79cb7d3b6f28c54bff2e48;143fmcPSq1fAGNAshKrg1PPkrjhxnn4XHc;0.3705059;59.16321275;84.51197573;
337741;2015-01-06 10:16:37 UTC;b45d9fa6392f41dc837d2357b7b73c484fbb03070f0424c3fbe2a0a57bed12f1;1KG7vVWzjRH4ie8Aj3bKtGxc2ccWgexhyr;5.0;64.16321275;77.92627248;
337742;2015-01-06 10:17:39 UTC;d19b6d97ff243b84a0b7008ae2bc4b275ee61903358e5fc3edf43292843f8a01;1GQHSb84WKzwXuMY6pfCFHJuoAW4ckpKrC;15.71831613;79.88152888;62.59269283;
337747;2015-01-06 10:55:19 UTC;cd2e0269d05524f060c02e992f67404704a4173bfa2e4e1020f35b9a757695e3;1JeR4Vj4brtgnrKG8ufeCwj2GBks76p9EW;4.9559;84.83742888;58.93625097;
337750;2015-01-06 11:39:53 UTC;a9ecad0a04cddc2cdd241a3c1e790ffedc7cdb054476511037b954fdeb281d33;1D9raDdQK4Jn2aQeVnAVAg4YWosRzTfwPi;17.6589;102.49632888;48.78223498;
337758;2015-01-06 12:29:41 UTC;1d0121de5d903c5de71e25efec81587b1a57f2f25eb2f992d38aaf866dfc6610;1FzL42EEhnqrgFMJh76ai16PAmtvARVm5R;20.0;122.49632888;40.81754976;1DAoapRfNzGTqU1GfKi7hJEmgeguKXXcaj,1917NZfesC1cwH7YRRuD7zYjemMkSKVqQN
337759;2015-01-06 12:36:12 UTC;f9d38a3897acda954cdc912ad45bd40f019d28bbe4d360539af6f0cae9f9a9d9;1HQA2zrKxPxKA99284c2C5PUFMaFVhiXuQ;0.82;123.31632888;40.5461308;
337767;2015-01-06 13:59:28 UTC;904d99a7416a123f624eb865586ea1996a3bbc7af2ad9c7d75035c6626285c69;1BrM7cNGK5GLaXzQuFGhZ4dHhWHsXMEfX8;0.0999;123.41622888;40.51331049;
337768;2015-01-06 14:10:29 UTC;98f6e5bf6469ce97d12e95615ed99154ff08a3c04567f54457835dd8a1f7952d;1Fh6VDKpWrxSptFCVecSnguFz4xbJ4TKF;0.5;123.91622888;40.34983993;
337773;2015-01-06 14:58:09 UTC;083d3cafefc039e857e99a02653e23776ea4ce0410ae9de2e0487392bb145f74;1AgXeiurCHScStPbK8QaTr79icGLKbeFxS;8.0;131.91622888;37.90284215;1QqUbj1mK5XeU6cRMnrJ8zJCA86iWZLE6
337780;2015-01-06 15:21:36 UTC;2ab31b3618fa2fcbadb6f57f2092dc47ec41a4a15c4df1bb3b2b7700a1f75968;1EEF1iAMduoXJ2CwcVkdTkuj2nQnWN6pJU;1.0;132.91622888;37.61767876;
337780;2015-01-06 15:21:36 UTC;7031b1168cf07b37a37c9d021459bb911417bbf24ba01649d2d5ff000e0eae9a;1EEF1iAMduoXJ2CwcVkdTkuj2nQnWN6pJU;1.55;134.46622888;37.1840576;
337784;2015-01-06 15:39:27 UTC;ce3fdad50aba9e0a8050a83a52cc58d621a1eec806e55aeaf36c892ebf7be9d8;1KX2HnBe4FMSBXaBHc2nwCsao3ueTgXqt1;1.1993;135.66552888;36.85534595;
337787;2015-01-06 15:54:26 UTC;1f7a96c768423c2fd71426b16a2a7685a11890c4f647c3deb83ad0213f60f8c7;1GpXVmbBz9s3yEvLsyJEZv9jEhniF83dHE;29.9999;165.66542888;30.18131202;
337788;2015-01-06 16:16:23 UTC;e8435178da9d5ddd76e210622215f5b5062f1a1559e5ebe53e9c4b96a76f6e79;1Ff8Wg3UMzLepRp6Sd8Gpgt8gAtGE17frV;0.044;165.70942888;30.17329813;
337789;2015-01-06 16:20:35 UTC;40915b6b516739a99f780359168c720a62305a2d5b71f9bf43c39c04e5901bc0;1DbS9kVMcLddfNrrkAwapoCAydBeYf3Ag3;1.02;166.72942888;29.98870705;
337797;2015-01-06 17:09:22 UTC;b908b8387bcd9fc514b61e4a4e44688c3a2debd2889d05c95c3ddada597d5a82;1C7RsXQUBgvFDmy5FmEvo1tPQC7rBtNFxf;2.5;169.22942888;29.54568855;19BLuFEwQvgjn7ZaWJKRBT5tmFshKpf2i3,1JuztP8KbW9SupCsRGF4MxvkU7BL1swGUT,15hu3HHp94ecQopd2Sv63m1C1vDpetHxVa
337799;2015-01-06 17:40:03 UTC;ff71be84f1392b10de03f11f74eb9a60a24e25f2d854ca8c80b2e0f6912e6e1a;1DkT2me3JhKZDY1AP6Dqs174c1y33f5QHR;0.5071;169.73652888;29.4574187;1MXZCWzzbPovFsYLfyuehzmH7NZcUQE99o,19y5kv3r24MWQcto3yTPrk1cgC4Ha9mYzq
